participant_id,video_id,recording_elegible,cam_allowed,azure_features,video_error,duration_recording,survey_duration,pre_quiz1,pre_quiz2,post_quiz1,post_quiz2,post_quiz3,post_quiz4,post_quiz5,post_quiz6,post_quiz7,post_quiz8,self_interest,self_boring,self_confusion,self_easy,demo_age,demo_gender,demo_race,demo_ethnicity,demo_marital_status,demo_education,demo_income,demo_employment,demo_industry,demo_country,demo_region,correct,correct_pre_quiz,correct_post_quiz,self_raw_anger,self_raw_contempt,self_raw_disgust,self_raw_fear,self_raw_happiness,self_raw_neutral,self_raw_sadness,self_raw_surprise,reported_emotions
923230,22804,0,0.0,0.0,0,,56994,b,d,b,d,b,a,d,a,b,c,5,3,4,4,a,b,c,b,a,e,a,a,n,CN,f,5,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3786510,22804,0,0.0,0.0,0,,527,a,a,c,a,b,b,b,b,a,b,7,1,1,7,b,b,c,c,a,d,h,a,h,NL,f,4,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1411967,12588,1,1.0,0.0,1,,954,a,a,b,a,b,a,b,c,b,c,6,1,2,6,a,b,c,c,a,d,h,c,s,CN,b,5,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
611187,12588,1,0.0,0.0,0,,615,a,b,b,b,b,a,d,a,d,b,5,3,5,3,b,a,c,b,a,d,c,e,G,US,b,7,1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1243887,12588,1,1.0,0.0,0,3.797,621,b,c,b,d,b,d,c,a,d,c,4,4,2,6,b,a,c,b,a,d,a,e,G,TW,b,6,1,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
2671527,12588,1,0.0,0.0,0,,3376,a,a,b,b,b,a,c,d,d,b,6,2,2,6,b,a,c,b,a,e,b,b,s,US,b,6,1,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5918787,12588,1,1.0,0.0,1,,662,a,c,c,b,b,a,d,a,a,b,6,3,2,7,a,a,c,b,a,b,a,e,f,QA,f,6,2,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6366247,12588,1,0.0,0.0,0,,1288,b,c,c,c,d,d,d,a,a,b,7,1,1,5,b,a,c,b,a,d,b,a,q,TW,f,3,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3561187,12588,1,1.0,0.0,0,285.73,636,d,d,b,b,b,d,a,a,d,b,3,5,4,4,d,d,a,b,f,e,d,a,k,US,b,5,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2268427,12588,1,1.0,1.0,0,285.909,403,b,c,c,c,c,c,c,c,c,c,4,4,4,4,a,a,c,c,a,d,d,e,a,US,b,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
